Konu;Ham_Cikti
Coğrafya;"Soru: Baltık Denizi, Kuzey Buz Denizi ve Atlantik Okyanusu ile bağlantılı olan, Avrupa'nın en büyük iç denizlerinden biri hangisidir?
Doğru Cevap: Baltık Denizi
Yanlış Cevap: Ege Denizi."
Sinema ve Sanat;"Soru: Hangi yönetmenin filmlerinde karakteristik renk paleti, simetrik kompozisyon ve retro tasarımlar öne çıkar?
Doğru Cevap: Wes Anderson
Yanlış Cevap: Pedro Almodóvar / Christopher Nolan"
Spor;"Soru: Wimbledon tenis turnuvası ne zaman ilk kez düzenlendi?
Doğru Cevap: 1877
Yanlış Cevap: 1900"
Sinema ve Sanat;"Soru: En İyi Yönetmen Oscarı'nı (DGA Ödülü dahil) en fazla kaç kez kazanmıştır?
Doğru Cevap: 5 (Martin Scorsese)
Yanlış Cevap: 4 (Christopher Nolan)"
Tarih;"Soru: İlk Haçlı Seferleri'nin başladığı yıl hangisidir?
Doğru Cevap: 1096
Yanlış Cevap: 1300"
Spor;"Soru: Futbol tarihindeki en çok gol atan erkek oyuncu kimdir? (2023 itibariyle)
Doğru Cevap: Cristiano Ronaldo
Yanlış Cevap: Lionel Messi"
Bilim ve Teknoloji;"Soru: CRISPR-Cas9 gen düzenleme teknolojisinin geliştirilmesine katkı sağlayan bilim insanlarına hangi Nobel Ödülü verildi?
Doğru Cevap: 2020 Nobel Kimya Ödülü
Yanlış Cevap: Nobel Fizik Ödülü"
Bilim ve Teknoloji;"Soru: Elektrik akımının yönünü tanımlayan ve elektrik devrelerinde kullanılan voltaj biriminin (volt) keşfinde önemli rol oynayan bilim insanı kimdir?
Doğru Cevap: Alessandro Volta
Yanlış Cevap: Nikola Tesla"
Bilim ve Teknoloji;"Soru: DNA'nın yapısını çift sarmal olarak keşfeden bilim insanları kimdir?
Doğru Cevap: James Watson ve Francis Crick
Yanlış Cevap: Rosalind Franklin"
Bilim ve Teknoloji;"Soru: Hangi element periyodik tabloda ""radyum"" olarak bilinir?
Doğru Cevap: 88. element
Yanlış Cevap: 92. element"
Bilim ve Teknoloji;"Soru: İnternetin temelini oluşturan protokol hangisidir?
Doğru Cevap: TCP/IP
Yanlış Cevap: HTTP"
Bilim ve Teknoloji;"Soru: Newton'un 3. Hareket Yasası nedir?
Doğru Cevap: Her etkiye karşılık bir tepki vardır
Yanlış Cevap: Hareket eden cisim durana kadar hızını korur"
Bilim ve Teknoloji;"Soru: Güneş sistemindeki en büyük gezegen hangisidir?
Doğru Cevap: Jüpiter
Yanlış Cevap: Satürn"
Spor;"Soru: Olimpiyat Oyunları tarihinde (Yaz ve Kış dahil) en çok madalya kazanan ülke hangisidir?
Doğru Cevap: Amerika Birleşik Devletleri (ABD)
Yanlış Cevap: Rusya"
Bilim ve Teknoloji;"Soru: CRISPR-Cas9 gen düzenleme teknolojisini geliştiren bilim insanları kimdir?
Doğru Cevap: Emmanuelle Charpentier ve Jennifer A. Doudna
Yanlış Cevap: Thomas Cech"
Bilim ve Teknoloji;"Soru: Hangi gezegen, ""kırmızı gezegen"" olarak bilinir ve yüzeyinde demir oksitler nedeniyle kırmızı renk hakimdir?
Doğru Cevap: Mars
Yanlış Cevap: Venüs"
Bilim ve Teknoloji;"Soru: Hangisi yapay zekanın derin öğrenme alanındaki temel mimarilerden biri değildir?
Doğru Cevap: Transformers
Yanlış Cevap: CNN"
Bilim ve Teknoloji;"Soru: Kuantum hesaplamanın pratik uygulamalarda karşılaştığı temel zorluklardan biri nedir?
Doğru Cevap: Kuantum durumlarının kararlılığı (decoherence)
Yanlış Cevap: Enerji tüketiminin yüksekliği"
Bilim ve Teknoloji;"Soru: İnsan genom projesi hangi yılda tamamlanmıştır?
Doğru Cevap: 2003
Yanlış Cevap: 1985"
Bilim ve Teknoloji;"Soru: Yapay zeka alanında ""narrow AI"" (dar yapay zeka) ne anlama gelir?
Doğru Cevap: Belirli bir görevde uzmanlaşmış yapay zeka
Yanlış Cevap: İnsan seviyesinde genel zekaya sahip olma yeteneği"
Coğrafya;"Soru: Dünyanın en büyük tatlı su gölü hangisidir?
Doğru Cevap: Victoria Gölü
Yanlış Cevap: Victoria Denizi"
Spor;"Soru: FIFA Dünya Kupası tarihinde en fazla katılımcı ülke sayısı hangisidir?
Doğru Cevap: 2022 Dünya Kupası (Katar) - 32 ülke
Yanlış Cevap: 2002 Dünya Kupası - 15 ülke"
Spor;"Soru: Basketbol oyunu hangi yıl ve kim tarafından icat edilmiştir?
Doğru Cevap: 1891 - James Naismith
Yanlış Cevap: 1903 - Walt McCellan"
Bilim ve Teknoloji;"Soru: ChatGPT dil modelinin geliştirildiği ve arkasındaki şirketin CEO'su kimdir?
Doğru Cevap: Sam Altman (OpenAI)
Yanlış Cevap: Satya Nadella"
Spor;"Soru: Futbol tarihindeki en golcü Türk futbolcu kimdir?
Doğru Cevap: Hakan Şükür
Yanlış Cevap: Arda Güler"
Sinema ve Sanat;"Soru: En çok Oscar Ödülü'nü kazanan yönetmen kimdir?
Doğru Cevap: William Wyler
Yanlış Cevap: Kathryn Bigelow"
Bilim ve Teknoloji;"Soru: 2023 yılında ""ChatGPT"" adıyla popüler olan yapay zeka modelinin geliştiricisi OpenAI'dır?
Doğru Cevap: ChatGPT
Yanlış Cevap: Bard (Google)"
Spor;"Soru: 2023 FIFA Dünya Kupası turnuvasına hangi ülke ev sahipliği yapmıştır?
Doğru Cevap: Katar
Yanlış Cevap: Rusya"
Spor;"Soru: ""The Open Championship"" olarak bilinen golf turnuvası hangi ülkede oynanır?
Doğru Cevap: Birleşik Krallık
Yanlış Cevap: ABD"
Spor;"Soru: Michael Jordan'ın profesyonel basketbol kariyerinde oynadığı takım hangisidir?
Doğru Cevap: Chicago Bulls
Yanlış Cevap: Los Angeles Lakers"
Spor;"Soru: Teniste ""Grand Slam"" turnuvaları nelerdir?
Doğru Cevap: Avustralya Açık, Fransa Açık, Wimbledon, ABD Açık
Yanlış Cevap: Avustralya Açık, İtalya Açık, Wimbledon, Avrupa Açık"
Spor;"Soru: Formula 1 tarihinde en çok yarış kazanan sürücü kimdir?
Doğru Cevap: Lewis Hamilton
Yanlış Cevap: Michael Schumacher"
Spor;"Soru: Kriket Dünya Kupası'nda ""Little Master"" lakabıyla tanınan efsanevi Hint oyuncu kimdir?
Doğru Cevap: Sachin Tendulkar
Yanlış Cevap: Virat Kohli"
Spor;"Soru: Olimpiyat Oyunları'nın ilk kadın sporcu madalyası hangi oylamda verilmiştir?
Doğru Cevap: 1900 Paris Olimpiyatları
Yanlış Cevap: 1924 Paris Olimpiyatları"
Spor;"Soru: ""Maratonun babası"" olarak adlandırılan ve ilk modern Olimpiyat maratonunu kazanan Yunan atlet kimdir?
Doğru Cevap: Spiros Louis
Yanlış Cevap: Paavo Nurmi"
Spor;"Soru: ""Siyah Melekler"" hangi spor dalının efsanevi kadın takımıdır?
Doğru Cevap: Amerikan futbolu
Yanlış Cevap: Basketbol"
Spor;"Soru: Hangi ülke 2024 Yaz Olimpiyatları'na ev sahipliği yapacak?
Doğru Cevap: Fransa, Paris
Yanlış Cevap: Almanya, Berlin"
Sinema ve Sanat;"Soru: Sessiz sinema döneminin sona erdiği ve ilk konuşmalı filmin gösterime girdiği yıl hangisidir?
Doğru Cevap: 1927
Yanlış Cevap: 1930"
Bilim ve Teknoloji;"Soru: ChatGPT'nin insan beynini taklit etmesinin kaynağı nedir?
Doğru Cevap: İnsan beyni
Yanlış Cevap: Bilgisayar işlemcisi"
Sinema ve Sanat;"Soru: Oscar tarihinde ödül kazanan ilk kadın yönetmen kimdir?
Doğru Cevap: Alla Nazimon
Yanlış Cevap: Greta Gerwig"
Bilim ve Teknoloji;"Soru: DNA'nın çift sarmal yapısının keşfini kimler yaptılar ve bu keşifle Nobel Ödülü hangi yılda verildi?
Doğru Cevap: James Watson, Francis Crick - 1962
Yanlış Cevap: Gregor Mendel ve Thomas Hunt Morgan"
Tarih;"Soru: Roma İmparatorluğu'nun Batı kolu ne zaman çöktü?
Doğru Cevap: 476 yılında
Yanlış Cevap: 1054 yılında"
Tarih;"Soru: İlk Haçlı Seferi ne zaman başladı?
Doğru Cevap: 1096 yılı
Yanlış Cevap: 1204 yılı"
Tarih;"Soru: İstanbul'un fethi hangi yıl gerçekleşti?
Doğru Cevap: 1453
Yanlış Cevap: 1204"
Tarih;"Soru: Fransız Devrimi ne zaman başladı?
Doğru Cevap: Haziran 1789
Yanlış Cevap: Kasım 1789"
Coğrafya;"Soru: Ekvator çizgisi boyunca hangi iklim kuşağında bulunuruz?
Doğru Cevap: Tropikal İklim
Yanlış Cevap: Subtropikal İklim"
Spor;"Soru: Futbolun resmi olarak kuralları ilk kez standartlaştırılıp kayıt altına alındığı tarih hangi yılda kabul edilir?
Doğru Cevap: 1863
Yanlış Cevap: Meksika'da"
Bilim ve Teknoloji;"Soru: Hangi şirket, AlphaFold adlı yapay zeka sistemini geliştiren DeepMind'ı 2015 yılında satın aldı?
Doğru Cevap: Google
Yanlış Cevap: Microsoft"
Coğrafya;"Soru: Hangi ülke hem ""dünyanın en uzun nehri"" hem de ""dünyanın en büyük tatlı su rezervuarı"" unvanlarına sahiptir?
Doğru Cevap: Çin
Yanlış Cevap: Hindistan"
Coğrafya;"Soru: Dünyadaki aktif yanardağların yaklaşık %75'i hangi okyanus tabanının üzerinde bulunur?
Doğru Cevap: Pasifik Okyanusu
Yanlış Cevap: Atlas Okyanusu"
Coğrafya;"Soru: ""Dünyanın en büyük şelalesi"" olarak kabul edilen su kütlesi hangisidir?
Doğru Cevap: Takin Gölü Şelalesi
Yanlış Cevap: Niagara Şelalesi"
Coğrafya;"Soru: Hangi ülke hem ""dünyanın en büyük çölü"" hem de ""dünyanın en yüksek dağını"" sınırları içinde barındırır?
Doğru Cevap: Çin/Tibet
Yanlış Cevap: Pakistan"
Coğrafya;"Soru: Dünyanın dört büyük buzulu havzasından biri olan ve Antarktika'dan sonra en fazla tatlı suya sahip olan kıta hangisidir?
Doğru Cevap: Grönland
Yanlış Cevap: Alaska"
Coğrafya;"Soru: ""Dünyanın en uzun nehri"" olarak kabul edilen nehir hangi ülkeden doğar ve hangi okyanusa dökülür?
Doğru Cevap: Peru And Dağları'ndan doğar, Amazon Okyanusu'na dökülür.
Yanlış Cevap: Hindistan'dan doğar"
Bilim ve Teknoloji;"Soru: Hangi şirket, 2016 yılında AlphaGo adlı yapay zeka sistemini kullanarak profesyonel bir Go oyuncusunu mağlup etti?
Doğru Cevap: DeepMind
Yanlış Cevap: IBM Watson"
Bilim ve Teknoloji;"Soru: İnsan genom projesi ne zaman tamamlandı?
Doğru Cevap: 2003
Yanlış Cevap: 1985"
Bilim ve Teknoloji;"Soru: Hubble Uzay Teleskobu tarafından keşfedilen, Samanyolu dışındaki galaksilerde ilk kez doğrudan görüntülenen gezegen hangisidir?
Doğru Cevap: HR 8799 d
Yanlış Cevap: Fomalhaut b"
Bilim ve Teknoloji;"Soru: DeepMind'ın yapay zeka programı AlphaGo, hangi yıl dünya satrancı şampiyonunu yenerek tarihe geçti?
Doğru Cevap: 2017
Yanlış Cevap: 2015"
Edebiyat;"Soru: Aşağıdaki eserlerden hangisi, 1925 yılında Nobel Edebiyat Ödülü'nü kazanmıştır?
Doğru Cevap: Savaş ve Barış (Tolstoy)
Yanlış Cevap: Suç ve Ceza (Dostoyevski)"
Coğrafya;"Soru: Dünyanın en yüksek dağı hangisidir?
Doğru Cevap: Everest Dağı
Yanlış Cevap: K2"
Bilim ve Teknoloji;"Soru: Bir kişinin veya kurumun faaliyetleri sonucu ortaya çıkardığı karbondioksit eşdeğeri sera gazı emisyonlarının ölçüldüğü terim nedir?
Doğru Cevap: Karbon ayak izi
Yanlış Cevap: Karbon bütçesi"
Edebiyat;"Soru: Ahmet Hamdi Tanpınar'ın ""Safahat"" romanı hangi yayınevi tarafından ilk kez basılmıştır?
Doğru Cevap: İstanbul Yayınevi (1971)
Yanlış Cevap: Remzi Kitabevi"
Spor;"Soru: Dünyada en fazla UEFA Şampiyonlar Ligi şampiyonluğu kazanmış futbol takımı hangisidir?
Doğru Cevap: Real Madrid CF
Yanlış Cevap: FC Barcelona"
Bilim ve Teknoloji;"Soru: Kuantum bilgisayarların geliştirilmesinde öncü şirketlerden biri hangisidir?
Doğru Cevap: IBM
Yanlış Cevap: NVIDIA"
Edebiyat;"Soru: Ahmet Hamdi Tanpınar'ın ""Saatleri Ayarlama Enstitüsü"" romanının merkezinde yer alan kavram nedir?
Doğru Cevap: Zaman
Yanlış Cevap: Bellek"
Tarih;"Soru: 18. yüzyılda Avrupa'da hangi büyük güç, askeri ve politik zayıflıkların sonucunda çöküşe geçti?
Doğru Cevap: Avusturya İmparatorluğu
Yanlış Cevap: Osmanlı İmparatorluğu"
Tarih;"Soru: Roma İmparatoru Claudius döneminde, Yahudi topraklarında hangi olay meydana geldi?
Doğru Cevap: MS 37 İsyanı
Yanlış Cevap: MS 66 Büyük İsyan"
Coğrafya;"Soru: Dünyanın en yüksek dağı olan Everest Dağı'nın deniz seviyesine göre yüksekliği kaç metredir?
Doğru Cevap: 8,848 m
Yanlış Cevap: 6,957 m"
Sinema ve Sanat;"Soru: Alfred Hitchcock'ın 1958 yapımı gerilim filmi ""Vertigo"" ile aynı yıl gösterime giren hangi başyapıt en etkili filmlerden biridir?
Doğru Cevap: Vertigo
Yanlış Cevap: Rear Window"
Tarih;"Soru: Mustafa Kemal Atatürk'ün vefat ettiği yıl hangisidir?
Doğru Cevap: 1938
Yanlış Cevap: 1945"
Tarih;"Soru: Roma İmparatorluğu ne zaman çöktü?
Doğru Cevap: MS 476
Yanlış Cevap: MS 218"
Spor;"Soru: Futbolda ""Süper Kupa"" adı verilen turnuva hangi iki ülkenin kulüpleri arasında oynanır?
Doğru Cevap: İngiltere ve İspanya
Yanlış Cevap: Almanya ve Fransa"
Spor;"Soru: Basketbolda ""Ön Arda Atış"" (Pick-and-roll) oyununun temelini oluşturan iki hareket nedir?
Doğru Cevap: Perdeleme ve koşuya devam etme
Yanlış Cevap: Dribbling ile pas kombinasyonu"
Spor;"Soru: Teniste ""Grand Slam"" turnuvalarından biri olan Avustralya Açık'ın oynandığı şehir neresidir?
Doğru Cevap: Melbourne
Yanlış Cevap: Sidney"
Spor;"Soru: Bisiklet sporunda ""Tour de France"" yarışının başlangıcını simgeleyen sarı renkli mayonun adı nedir?
Doğru Cevap: Sarı Mayo (Maillot Jaune)
Yanlış Cevap: Yeşil Mayo"
Spor;"Soru: Olimpiyat Oyunları'nda hangi yıl ilk kez kadınlar maraton yarışına katılmıştır?
Doğru Cevap: 1984
Yanlış Cevap: 1964"
Spor;"Soru: Yüzmedeki ""Serbest Stil"" (Freestyle) hareketinin karakteristik özelliği nedir?
Doğru Cevap: Kol ve bacakların koordineli ama simetrik olmaması
Yanlış Cevap: Tüm vücudun suyun üst yüzeyinde yatay kalması"
Spor;"Soru: Amerikan futbolu takımının sahada bulundurmak zorunda olduğu minimum oyuncu sayısı kaçtır?
Doğru Cevap: 11 oyuncu
Yanlış Cevap: 7 oyuncu"
Spor;"Soru: Voleybolda ""Set""in hangi durum dışında verildiğini açıklayan kural ne olarak bilinir?
Doğru Cevap: Net ihlali dışındaki tüm hatalar
Yanlış Cevap: Rakibin hücum hakkı bitmişken"
Spor;"Soru: ""Örümcek Adam"" çizgi roman karakterinin kostümünde genellikle hangi spor dalına ait sembol bulunur?
Doğru Cevap: Amerikan futbolu
Yanlış Cevap: Beyzbol"
Spor;"Soru: Türk millî futbol takımının 2024 Avrupa Şampiyonası elemelerinde ilk maçını oynadığı tarih ve yer nedir?
Doğru Cevap: 9 Haziran 2023, Konya
Yanlış Cevap: 15 Ekim 2024, Malatya"
Edebiyat;"Soru: Nazım Hikmet'in hangi şiir eseri Türk edebiyatında ""Klasik Davud"" olarak bilinir?
Doğru Cevap: Davud
Yanlış Cevap: Davet"
