Konu;Ham_Cikti
Bilim ve Teknoloji;"Soru: İnsan genom projesi hangi yılda tamamlanmıştır?
Doğru Cevap: 2003
Yanlış Cevap: 1985"
Coğrafya;"Soru: Dünyanın en büyük tatlı su gölü hangisidir?
Doğru Cevap: Victoria Gölü
Yanlış Cevap: Victoria Denizi"
Spor;"Soru: Basketbol oyunu hangi yıl ve kim tarafından icat edilmiştir?
Doğru Cevap: 1891 - James Naismith
Yanlış Cevap: 1903 - Walt McCellan"
Spor;"Soru: Futbol tarihindeki en golcü Türk futbolcu kimdir?
Doğru Cevap: Hakan Şükür
Yanlış Cevap: Arda Güler"
Bilim ve Teknoloji;"Soru: 2023 yılında ""ChatGPT"" adıyla popüler olan yapay zeka modelinin geliştiricisi OpenAI'dır?
Doğru Cevap: ChatGPT
Yanlış Cevap: Bard (Google)"
Spor;"Soru: ""The Open Championship"" olarak bilinen golf turnuvası hangi ülkede oynanır?
Doğru Cevap: Birleşik Krallık
Yanlış Cevap: ABD"
Spor;"Soru: Teniste ""Grand Slam"" turnuvaları nelerdir?
Doğru Cevap: Avustralya Açık, Fransa Açık, Wimbledon, ABD Açık
Yanlış Cevap: Avustralya Açık, İtalya Açık, Wimbledon, Avrupa Açık"
Spor;"Soru: Kriket Dünya Kupası'nda ""Little Master"" lakabıyla tanınan efsanevi Hint oyuncu kimdir?
Doğru Cevap: Sachin Tendulkar
Yanlış Cevap: Virat Kohli"
Spor;"Soru: ""Maratonun babası"" olarak adlandırılan ve ilk modern Olimpiyat maratonunu kazanan Yunan atlet kimdir?
Doğru Cevap: Spiros Louis
Yanlış Cevap: Paavo Nurmi"
Spor;"Soru: Hangi ülke 2024 Yaz Olimpiyatları'na ev sahipliği yapacak?
Doğru Cevap: Fransa, Paris
Yanlış Cevap: Almanya, Berlin"
Bilim ve Teknoloji;"Soru: ChatGPT'nin insan beynini taklit etmesinin kaynağı nedir?
Doğru Cevap: İnsan beyni
Yanlış Cevap: Bilgisayar işlemcisi"
Bilim ve Teknoloji;"Soru: DNA'nın çift sarmal yapısının keşfini kimler yaptılar ve bu keşifle Nobel Ödülü hangi yılda verildi?
Doğru Cevap: James Watson, Francis Crick - 1962
Yanlış Cevap: Gregor Mendel ve Thomas Hunt Morgan"
Tarih;"Soru: İlk Haçlı Seferi ne zaman başladı?
Doğru Cevap: 1096 yılı
Yanlış Cevap: 1204 yılı"
Tarih;"Soru: Fransız Devrimi ne zaman başladı?
Doğru Cevap: Haziran 1789
Yanlış Cevap: Kasım 1789"
Spor;"Soru: Futbolun resmi olarak kuralları ilk kez standartlaştırılıp kayıt altına alındığı tarih hangi yılda kabul edilir?
Doğru Cevap: 1863
Yanlış Cevap: Meksika'da"
Coğrafya;"Soru: Hangi ülke hem ""dünyanın en uzun nehri"" hem de ""dünyanın en büyük tatlı su rezervuarı"" unvanlarına sahiptir?
Doğru Cevap: Çin
Yanlış Cevap: Hindistan"
Coğrafya;"Soru: ""Dünyanın en büyük şelalesi"" olarak kabul edilen su kütlesi hangisidir?
Doğru Cevap: Takin Gölü Şelalesi
Yanlış Cevap: Niagara Şelalesi"
Coğrafya;"Soru: Dünyanın dört büyük buzulu havzasından biri olan ve Antarktika'dan sonra en fazla tatlı suya sahip olan kıta hangisidir?
Doğru Cevap: Grönland
Yanlış Cevap: Alaska"
Bilim ve Teknoloji;"Soru: Hangi şirket, 2016 yılında AlphaGo adlı yapay zeka sistemini kullanarak profesyonel bir Go oyuncusunu mağlup etti?
Doğru Cevap: DeepMind
Yanlış Cevap: IBM Watson"
Bilim ve Teknoloji;"Soru: Hubble Uzay Teleskobu tarafından keşfedilen, Samanyolu dışındaki galaksilerde ilk kez doğrudan görüntülenen gezegen hangisidir?
Doğru Cevap: HR 8799 d
Yanlış Cevap: Fomalhaut b"
Edebiyat;"Soru: Aşağıdaki eserlerden hangisi, 1925 yılında Nobel Edebiyat Ödülü'nü kazanmıştır?
Doğru Cevap: Savaş ve Barış (Tolstoy)
Yanlış Cevap: Suç ve Ceza (Dostoyevski)"
Bilim ve Teknoloji;"Soru: Bir kişinin veya kurumun faaliyetleri sonucu ortaya çıkardığı karbondioksit eşdeğeri sera gazı emisyonlarının ölçüldüğü terim nedir?
Doğru Cevap: Karbon ayak izi
Yanlış Cevap: Karbon bütçesi"
Spor;"Soru: Dünyada en fazla UEFA Şampiyonlar Ligi şampiyonluğu kazanmış futbol takımı hangisidir?
Doğru Cevap: Real Madrid CF
Yanlış Cevap: FC Barcelona"
Edebiyat;"Soru: Ahmet Hamdi Tanpınar'ın ""Saatleri Ayarlama Enstitüsü"" romanının merkezinde yer alan kavram nedir?
Doğru Cevap: Zaman
Yanlış Cevap: Bellek"
Tarih;"Soru: Roma İmparatoru Claudius döneminde, Yahudi topraklarında hangi olay meydana geldi?
Doğru Cevap: MS 37 İsyanı
Yanlış Cevap: MS 66 Büyük İsyan"
Sinema ve Sanat;"Soru: Alfred Hitchcock'ın 1958 yapımı gerilim filmi ""Vertigo"" ile aynı yıl gösterime giren hangi başyapıt en etkili filmlerden biridir?
Doğru Cevap: Vertigo
Yanlış Cevap: Rear Window"
Tarih;"Soru: Roma İmparatorluğu ne zaman çöktü?
Doğru Cevap: MS 476
Yanlış Cevap: MS 218"
Spor;"Soru: Basketbolda ""Ön Arda Atış"" (Pick-and-roll) oyununun temelini oluşturan iki hareket nedir?
Doğru Cevap: Perdeleme ve koşuya devam etme
Yanlış Cevap: Dribbling ile pas kombinasyonu"
Spor;"Soru: Bisiklet sporunda ""Tour de France"" yarışının başlangıcını simgeleyen sarı renkli mayonun adı nedir?
Doğru Cevap: Sarı Mayo (Maillot Jaune)
Yanlış Cevap: Yeşil Mayo"
Spor;"Soru: Yüzmedeki ""Serbest Stil"" (Freestyle) hareketinin karakteristik özelliği nedir?
Doğru Cevap: Kol ve bacakların koordineli ama simetrik olmaması
Yanlış Cevap: Tüm vücudun suyun üst yüzeyinde yatay kalması"
Spor;"Soru: Voleybolda ""Set""in hangi durum dışında verildiğini açıklayan kural ne olarak bilinir?
Doğru Cevap: Net ihlali dışındaki tüm hatalar
Yanlış Cevap: Rakibin hücum hakkı bitmişken"
Spor;"Soru: Türk millî futbol takımının 2024 Avrupa Şampiyonası elemelerinde ilk maçını oynadığı tarih ve yer nedir?
Doğru Cevap: 9 Haziran 2023, Konya
Yanlış Cevap: 15 Ekim 2024, Malatya"
